ClassName,MethodName,ReturnType,AccessLevel,Static,Async,Parameters
"MeshDecimatorUtility","AddToList","void","private",True,False,"ref List<Vector2> list; UVector2[] arr; int previousVertexCount; int currentVertexCount; int totalVertexCount; Vector2 defaultValue"
"MeshDecimatorUtility","AddToList","void","private",True,False,"ref List<Vector3> list; UVector3[] arr; int previousVertexCount; int currentVertexCount; int totalVertexCount; Vector3 defaultValue"
"MeshDecimatorUtility","AddToList","void","private",True,False,"ref List<Vector4> list; UVector4[] arr; int previousVertexCount; int currentVertexCount; int totalVertexCount; Vector4 defaultValue"
"MeshDecimatorUtility","AddToList","void","private",True,False,"ref List<Vector4> list; UColor[] arr; int previousVertexCount; int currentVertexCount; int totalVertexCount"
"MeshDecimatorUtility","AddToList","void","private",True,False,"ref List<BoneWeight> list; UBoneWeight[] arr; int previousVertexCount; int currentVertexCount; int totalVertexCount"
"MeshDecimatorUtility","TransformVertices","void","private",True,False,"UVector3[] vertices; ref UMatrix transform"
"MeshDecimatorUtility","TransformVertices","void","private",True,False,"UVector3[] vertices; UBoneWeight[] boneWeights; UMatrix[] oldBindposes; UMatrix[] newBindposes"
"MeshDecimatorUtility","ScaleMatrix","UMatrix","private",True,False,"ref UMatrix m; float scale"
"MeshDecimatorUtility","MergeArrays","T[]","private",True,False,"T[] arr1; T[] arr2"
"MeshDecimatorUtility","RemapBones","void","private",True,False,"UBoneWeight[] boneWeights; int[] boneIndices"
"MeshDecimatorUtility","CreateMesh","UMesh","private",True,False,"UMatrix[] bindposes; UVector3[] vertices; Mesh destMesh; bool recalculateNormals"
"MeshDecimatorUtility","DecimateMesh","UMesh","public",True,False,"UMesh mesh; UMatrix transform; float quality; bool recalculateNormals; DecimationAlgorithm.StatusReportCallback statusCallback = null"
"MeshDecimatorUtility","DecimateMeshes","UMesh","public",True,False,"UMesh[] meshes; UMatrix[] transforms; UMaterial[][] materials; float quality; bool recalculateNormals; out UMaterial[] resultMaterials; DecimationAlgorithm.StatusReportCallback statusCallback = null"
"MeshDecimatorUtility","DecimateMeshes","UMesh","public",True,False,"UMesh[] meshes; UMatrix[] transforms; UMaterial[][] materials; UTransform[][] meshBones; float quality; bool recalculateNormals; out UMaterial[] resultMaterials; out UTransform[] mergedBones; DecimationAlgorithm.StatusReportCallback statusCallback = null"
"LODSettings","LODSettings","«ctor»","public",False,False,"float quality"
"LODSettings","LODSettings","«ctor»","public",False,False,"float quality; SkinQuality skinQuality"
"LODSettings","LODSettings","«ctor»","public",False,False,"float quality; SkinQuality skinQuality; bool receiveShadows; ShadowCastingMode shadowCasting"
"LODSettings","LODSettings","«ctor»","public",False,False,"float quality; SkinQuality skinQuality; bool receiveShadows; ShadowCastingMode shadowCasting; MotionVectorGenerationMode motionVectors; bool skinnedMotionVectors"
"LODGenerator","CombineRenderers","Renderer[]","private",True,False,"MeshRenderer[] meshRenderers; SkinnedMeshRenderer[] skinnedRenderers"
"LODGenerator","GenerateStaticLOD","Mesh","private",True,False,"Transform transform; MeshRenderer renderer; float quality; out Material[] materials; DecimationAlgorithm.StatusReportCallback statusCallback"
"LODGenerator","GenerateStaticLOD","Mesh","private",True,False,"Transform transform; MeshRenderer[] renderers; float quality; out Material[] materials; DecimationAlgorithm.StatusReportCallback statusCallback"
"LODGenerator","GenerateSkinnedLOD","Mesh","private",True,False,"Transform transform; SkinnedMeshRenderer renderer; float quality; out Material[] materials; out Transform[] mergedBones; DecimationAlgorithm.StatusReportCallback statusCallback"
"LODGenerator","GenerateSkinnedLOD","Mesh","private",True,False,"Transform transform; SkinnedMeshRenderer[] renderers; float quality; out Material[] materials; out Transform[] mergedBones; DecimationAlgorithm.StatusReportCallback statusCallback"
"LODGenerator","FindRootBone","Transform","private",True,False,"Transform transform; Transform[] transforms"
"LODGenerator","SetupLODRenderer","void","private",True,False,"Renderer renderer; LODSettings settings"
"LODGenerator","GenerateLODs","void","public",True,False,"GameObject gameObj; LODSettings[] levels; LODStatusReportCallback statusCallback = null"
"LODGenerator","DestroyLODs","void","public",True,False,"GameObject gameObj"
"DecimatedObject","Reset","void","private",False,False,""
"DecimatedObject","GenerateLODs","void","public",False,False,"LODStatusReportCallback statusCallback = null"
"DecimatedObject","ResetLODs","void","public",False,False,""
"Vector3","Vector3","«ctor»","public",False,False,"float value"
"Vector3","Vector3","«ctor»","public",False,False,"float x; float y; float z"
"Vector3","Vector3","«ctor»","public",False,False,"Vector3d vector"
"Vector3","Set","void","public",False,False,"float x; float y; float z"
"Vector3","Scale","void","public",False,False,"ref Vector3 scale"
"Vector3","Normalize","void","public",False,False,""
"Vector3","Clamp","void","public",False,False,"float min; float max"
"Vector3","GetHashCode","int","public",False,False,""
"Vector3","Equals","bool","public",False,False,"object other"
"Vector3","Equals","bool","public",False,False,"Vector3 other"
"Vector3","ToString","string","public",False,False,""
"Vector3","ToString","string","public",False,False,"string format"
"Vector3","Dot","float","public",True,False,"ref Vector3 lhs; ref Vector3 rhs"
"Vector3","Cross","void","public",True,False,"ref Vector3 lhs; ref Vector3 rhs; out Vector3 result"
"Vector3","Angle","float","public",True,False,"ref Vector3 from; ref Vector3 to"
"Vector3","Lerp","void","public",True,False,"ref Vector3 a; ref Vector3 b; float t; out Vector3 result"
"Vector3","Scale","void","public",True,False,"ref Vector3 a; ref Vector3 b; out Vector3 result"
"Vector3","Normalize","void","public",True,False,"ref Vector3 value; out Vector3 result"
"Vector3","OrthoNormalize","void","public",True,False,"ref Vector3 normal; ref Vector3 tangent"
"Vector2i","Vector2i","«ctor»","public",False,False,"int value"
"Vector2i","Vector2i","«ctor»","public",False,False,"int x; int y"
"Vector2i","Set","void","public",False,False,"int x; int y"
"Vector2i","Scale","void","public",False,False,"ref Vector2i scale"
"Vector2i","Clamp","void","public",False,False,"int min; int max"
"Vector2i","GetHashCode","int","public",False,False,""
"Vector2i","Equals","bool","public",False,False,"object other"
"Vector2i","Equals","bool","public",False,False,"Vector2i other"
"Vector2i","ToString","string","public",False,False,""
"Vector2i","ToString","string","public",False,False,"string format"
"Vector2i","Scale","void","public",True,False,"ref Vector2i a; ref Vector2i b; out Vector2i result"
"Vector2d","Vector2d","«ctor»","public",False,False,"double value"
"Vector2d","Vector2d","«ctor»","public",False,False,"double x; double y"
"Vector2d","Set","void","public",False,False,"double x; double y"
"Vector2d","Scale","void","public",False,False,"ref Vector2d scale"
"Vector2d","Normalize","void","public",False,False,""
"Vector2d","Clamp","void","public",False,False,"double min; double max"
"Vector2d","GetHashCode","int","public",False,False,""
"Vector2d","Equals","bool","public",False,False,"object other"
"Vector2d","Equals","bool","public",False,False,"Vector2d other"
"Vector2d","ToString","string","public",False,False,""
"Vector2d","ToString","string","public",False,False,"string format"
"Vector2d","Dot","double","public",True,False,"ref Vector2d lhs; ref Vector2d rhs"
"Vector2d","Lerp","void","public",True,False,"ref Vector2d a; ref Vector2d b; double t; out Vector2d result"
"Vector2d","Scale","void","public",True,False,"ref Vector2d a; ref Vector2d b; out Vector2d result"
"Vector2d","Normalize","void","public",True,False,"ref Vector2d value; out Vector2d result"
"Vector2","Vector2","«ctor»","public",False,False,"float value"
"Vector2","Vector2","«ctor»","public",False,False,"float x; float y"
"Vector2","Set","void","public",False,False,"float x; float y"
"Vector2","Scale","void","public",False,False,"ref Vector2 scale"
"Vector2","Normalize","void","public",False,False,""
"Vector2","Clamp","void","public",False,False,"float min; float max"
"Vector2","GetHashCode","int","public",False,False,""
"Vector2","Equals","bool","public",False,False,"object other"
"Vector2","Equals","bool","public",False,False,"Vector2 other"
"Vector2","ToString","string","public",False,False,""
"Vector2","ToString","string","public",False,False,"string format"
"Vector2","Dot","float","public",True,False,"ref Vector2 lhs; ref Vector2 rhs"
"Vector2","Lerp","void","public",True,False,"ref Vector2 a; ref Vector2 b; float t; out Vector2 result"
"Vector2","Scale","void","public",True,False,"ref Vector2 a; ref Vector2 b; out Vector2 result"
"Vector2","Normalize","void","public",True,False,"ref Vector2 value; out Vector2 result"
